lower_layer_super_output_areas_code,asian_asian_british_or_asian_welsh_bangladeshi,asian_asian_british_or_asian_welsh_chinese,asian_asian_british_or_asian_welsh_indian,asian_asian_british_or_asian_welsh_pakistani,asian_asian_british_or_asian_welsh_other_asian
E01002693,5.586592178770949e-4,0.01899441340782123,0.029608938547486034,0.01452513966480447,0.027374301675977653
E01002694,0.06850961538461539,0.0234375,0.008413461538461538,0.003605769230769231,0.024639423076923076
E01002695,0.02991162474507138,0.043507817811012914,0.04010876954452753,6.798096532970768e-4,0.038069340584636305
E01002696,0,0.023441966838193252,0.014865637507146942,0.005717552887364208,0.017152658662092625
E01002697,0.0899390243902439,0.041666666666666664,0.012703252032520325,0.00508130081300813,0.029979674796747968
E01002698,0.012218963831867057,0.016617790811339198,0.024926686217008796,0.002932551319648094,0.016129032258064516
E01002699,0.003360215053763441,0.016801075268817203,0.016129032258064516,0.004032258064516129,0.009408602150537635
E01002700,0.007994186046511628,0.012354651162790697,0.014534883720930232,0.00872093023255814,0.014534883720930232
E01002701,0.018379850238257316,0.03675970047651463,0.02859087814840027,0.008849557522123894,0.04288631722260041
E01002702,0.02387697288547147,0.043707001214083364,0.026709834075273168,0.005261027923917442,0.049777418049372725
E01002703,0.020486555697823303,0.03841229193341869,0.030303030303030304,0.004694835680751174,0.03585147247119078
E01002704,0.01867572156196944,0.039898132427843805,0.03225806451612903,0.0029711375212224107,0.029711375212224108
E01002706,0.022582228767795778,0.03829160530191458,0.013254786450662739,0.002454590083456063,0.03043691703485518
E01002707,0.023587493143170598,0.03510696653867252,0.026878771256171146,0.007131102578167855,0.02578167855183763
E01002708,0.030703826169107228,0.04676428908833254,0.024090694378837978,0.0023618327822390174,0.042040623523854515
E01002709,0.0693950177935943,0.03558718861209965,0.020759193357058125,0.005931198102016607,0.014234875444839857
E01002710,0.04755944931163955,0.03504380475594493,0.013141426783479349,0.005632040050062578,0.02690863579474343
E01002711,0.03103448275862069,0.07980295566502463,0.03251231527093596,0.01083743842364532,0.03793103448275862
E01002712,0.012336719883889695,0.012336719883889695,0.015965166908563134,0.0043541364296081275,0.03193033381712627
E01002713,0.0458585140419481,0.018130110202630643,0.012442232492001421,0.004976892996800568,0.03732669747600426
E01002714,0.006506180871828237,0.01951854261548471,0.0247234873129473,0.002602472348731295,0.011060507482108002
E01002715,0.1311572700296736,0.029080118694362018,0.005934718100890208,0.002373887240356083,0.02314540059347181
E01002716,0.0283436669619132,0.012843224092116917,0.009300265721877768,0.0048715677590788304,0.021700620017714792
E01002717,0.015702479338842976,0.015702479338842976,0.013223140495867768,0.0024793388429752068,0.01818181818181818
E01002718,0.0019035532994923859,0.007614213197969543,0.021573604060913704,0.0012690355329949238,0.015228426395939087
E01002719,0.012080536912751677,0.02214765100671141,0.024161073825503355,0.003355704697986577,0.011409395973154362
E01002720,0.03864278982092366,0.010367577756833177,0.008482563619227144,0.0051837888784165885,0.022148916116870875
E01002721,0.007936507936507936,0.010378510378510378,0.015873015873015872,6.105006105006105e-4,0.01098901098901099
E01002722,0.013831258644536652,0.009681881051175657,0.013831258644536652,0.005532503457814661,0.01867219917012448
E01002723,0.015281173594132029,0.022616136919315404,0.020171149144254278,0.015281173594132029,0.03484107579462103
E01002724,0.008311688311688312,0.0664935064935065,0.03324675324675325,0.004675324675324675,0.03168831168831169
