msoa21cd,eur21,pop21
E02000724,1243,10027
E02000725,2417,9987
E02000727,1079,8518
E02000728,1718,8527
E02000729,1509,7327
E02000730,1142,9930
E02000731,1505,9962
E02000732,1086,8898
E02000733,1986,10096
E02000734,1476,7302
E02000735,1426,8610
E02000736,1475,9205
E02000737,1825,10380
E02000738,1635,9577
E02000739,1781,7726
E02000740,1328,6765
E02000741,1421,8244
E02000742,1676,8704
E02000743,1931,10281
E02000744,1947,9173
E02000745,2369,8598
E02000746,1960,9427
E02000747,2840,13096
E02000748,2128,6274
E02000749,1902,9549
E02000751,1259,11159
E02000752,1462,8782
E02000753,1347,6920
E02000754,1012,6768
E02000755,810,5484
E02000756,2609,14594
E02000757,1609,12394
E02000758,681,6885
E02000759,2034,13089
E02000760,1122,7535
E02000762,708,6621
E02000763,1206,8015
E02000764,1655,12307
E02000765,1181,7527
E02000767,1220,8626
E02000768,568,5790
E02000770,1198,8124
E02000772,1052,8385
E02000773,1087,10733
E02000774,1330,8109
E02000776,926,7039
E02000777,596,6004
E02000779,1459,8420
E02000781,1629,16293
E02000782,1600,11487
E02000783,1220,7396
E02000784,1560,10130
E02000785,1311,9714
E02000786,1533,11372
E02000787,1909,12088
E02000788,1135,9094
E02000789,1062,6303
E02000790,865,6585
E02000791,1347,6470
E02000792,1296,7148
E02000793,1013,8107
E02000794,947,7015
E02000795,1051,6926
E02000796,1277,11086
E02000797,1090,7869
E02000798,1259,11305
E02000799,656,6605
E02000800,833,5410
E02000801,724,7111
E02000802,699,7022
E02000803,1051,9716
E02000804,753,7147
E02000805,1236,10756
E02000806,937,10299
E02000807,1836,8225
E02000808,2025,10168
E02000810,2099,11894
E02000812,1698,10789
E02000813,2009,10222
E02000814,2547,10291
E02000815,1312,7611
E02000816,1717,9609
E02000817,944,6821
E02000818,1549,9791
E02000819,1096,8499
E02000820,1435,9242
E02000821,1492,9358
E02000822,860,6720
E02000823,1133,8684
E02000824,876,9903
E02000825,959,10225
E02000826,1113,9881
E02000827,1242,11311
E02000828,868,8814
E02000829,982,10928
E02000830,991,8884
E02000831,875,9353
E02000832,753,9689
E02000833,701,7491
E02000834,984,9387
E02000835,690,7680
E02000836,733,8297
E02000837,738,8560
E02000838,1107,9498
E02000839,888,8479
E02000840,941,9321
E02000841,1045,9187
E02000842,685,8279
E02000843,1057,9474
E02000844,806,8657
E02000845,914,9420
E02000846,893,7616
E02000847,736,9423
E02000848,516,8138
E02000849,622,8177
E02000850,752,10835
E02000851,2032,11582
E02000852,959,8146
E02000853,930,8171
E02000854,602,7611
E02000855,521,8204
E02000856,774,9327
E02000857,1441,8995
E02000858,618,8567
E02000859,545,8486
E02000860,1450,8785
E02000861,464,7778
E02000863,382,6736
E02000864,1396,11264
E02000865,868,7961
E02000866,1286,10645
E02000867,1882,11328
E02000868,1207,7196
E02000869,857,5931
E02000870,874,6372
E02000871,1461,11514
E02000872,1326,8145
E02000873,1397,9850
E02000874,921,7499
E02000875,1746,13571
E02000876,1112,7272
E02000877,1934,13809
E02000878,2047,10433
E02000879,999,8343
E02000880,906,6514
E02000881,1631,10830
E02000882,1096,11501
E02000883,1178,9287
E02000884,2613,12770
E02000885,869,7054
E02000886,1972,9592
E02000887,1648,10799
E02000888,1453,8620
E02000889,1817,8965
E02000890,1249,5814
E02000893,1391,7411
E02000894,2365,11007
E02000895,1024,8371
E02000896,1081,9328
E02000897,1065,8569
E02000898,959,8013
E02000899,1629,8812
E02000900,1636,8975
E02000901,1316,10492
E02000902,1648,9961
E02000903,1741,10275
E02000904,1420,8424
E02000905,1956,10473
E02000906,1664,9653
E02000907,1680,10576
E02000908,2780,12903
E02000909,1451,9247
E02000910,2307,11429
E02000911,3020,12965
E02000912,1635,9742
E02000913,1608,9641
E02000914,2367,11798
E02000915,1500,8111
E02000916,2301,10563
E02000917,2464,9589
E02000918,2111,9323
E02000919,2378,9239
E02000920,2189,10299
E02000921,2558,11199
E02000922,2755,10461
E02000923,1538,7527
E02000925,1460,7900
E02000926,2387,11640
E02000927,955,7101
E02000928,1055,8356
E02000929,1322,8105
E02000930,1629,10085
E02000931,1368,8817
E02000932,2233,12842
E02000933,1463,8867
E02000934,1366,8916
E02000935,1184,7374
E02000936,1887,9369
E02000937,1178,8161
E02000938,1990,10767
E02000939,950,7819
E02000940,1651,9324
E02000941,1225,10175
E02000942,1412,9686
E02000943,1153,8721
E02000944,1305,7638
E02000945,1717,7842
E02000946,975,8437
E02000947,1274,9346
E02000948,1198,10027
E02000949,1131,10002
E02000950,1629,7583
E02000951,785,6430
E02000952,831,6144
E02000953,923,7503
E02000954,698,6093
E02000955,843,6890
E02000956,1149,7421
E02000957,1492,10863
E02000958,990,8277
E02000959,1450,7866
E02000960,1298,6155
E02000961,2058,9815
E02000962,1698,7703
E02000963,1426,10522
E02000964,2194,12142
E02000965,1961,7876
E02000966,2383,9252
E02000967,1547,6057
E02000968,2247,14480
E02000969,1610,9606
E02000970,1821,6836
E02000971,2210,7473
E02000972,2283,7879
E02000973,2568,9955
E02000974,1871,8707
E02000975,2399,7419
E02000976,2510,8428
E02000977,1433,6388
E02000978,1978,7126
E02000979,1845,8087
E02000980,1985,8722
E02000981,1777,8271
E02000982,1615,7638
E02000983,1468,7696
E02006782,768,8126
E02006783,920,7771
E02006784,1025,7968
E02006785,631,6623
E02006786,843,7558
E02006787,679,7895
E02006788,690,7613
E02006789,219,6779
E02006791,1425,7563
E02006792,1990,8999
E02006793,2585,9645
E02006794,2073,8286
E02006795,1128,8269
E02006796,1214,9693
E02006798,1240,8887
